,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,79.63,78,81,23.42,PF,1612681448
1,Distrikt Brokopondo,4.75,-55.1667,74.95,90,100,7.94,SR,1612681561
2,Punta Arenas,-53.15,-70.9167,46.4,81,0,10.36,CL,1612681016
3,Maumere,-8.6199,122.2111,83.03,75,97,6.11,ID,1612681561
4,Airai,-8.9266,125.4092,68.79,98,100,3.27,TL,1612681315
5,Adrar,20.5022,-10.0711,49.86,51,26,10.2,MR,1612681561
6,Nikolskoye,59.7035,30.7861,12.2,85,90,17.9,RU,1612681194
7,Mataura,-46.1927,168.8643,70.27,66,0,3.56,NZ,1612681445
8,Laguna,38.421,-121.4238,46.99,76,1,1.41,US,1612681199
9,Rikitea,-23.1203,-134.9692,77.43,76,16,13.15,PF,1612681562
10,Lázaro Cárdenas,17.9583,-102.2,71.08,85,1,3.04,MX,1612681562
11,Rumoi,43.9344,141.6428,25.3,90,91,5.3,JP,1612681562
12,Ukiah,39.1502,-123.2078,48.0,81,1,1.61,US,1612681145
13,Mount Gambier,-37.8333,140.7667,64.4,55,90,18.41,AU,1612681501
14,La Ronge,55.1001,-105.2842,-31.0,61,0,5.75,CA,1612681562
15,Vaini,-21.2,-175.2,78.8,94,75,6.91,TO,1612681385
16,Norman Wells,65.282,-126.8329,-25.6,68,75,3.44,CA,1612681562
17,Albany,42.6001,-73.9662,19.0,58,100,0.6,US,1612681327
18,Monrovia,6.3005,-10.7969,75.2,94,40,1.43,LR,1612681563
19,Kruisfontein,-34.0033,24.7314,77.0,64,0,7.0,ZA,1612681274
20,Bluff,-46.6,168.3333,59.47,83,99,8.3,NZ,1612681563
21,Ýpsonas,34.6884,32.9574,55.4,67,40,1.14,CY,1612681563
22,Constitución,-35.3333,-72.4167,55.74,91,7,7.65,CL,1612681563
23,East London,-33.0153,27.9116,71.6,78,20,8.05,ZA,1612681563
24,Maniitsoq,65.4167,-52.9,33.93,73,0,28.16,GL,1612681563
25,Hobart,-42.8794,147.3294,66.0,36,20,17.27,AU,1612681563
