City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,78.98,74,2,15.59,PF,1613498067
Vaini,-21.2,-175.2,73.4,100,20,3.44,TO,1613498067
Mataura,-46.1927,168.8643,39.0,92,0,1.01,NZ,1613498067
Hobart,-42.8794,147.3294,55.99,88,1,8.05,AU,1613498067
Busselton,-33.65,115.3333,59.0,95,0,9.42,AU,1613498068
Saskylakh,71.9167,114.0833,-23.67,85,94,6.98,RU,1613498068
Ushuaia,-54.8,-68.3,64.4,42,40,11.5,AR,1613497831
Banyo,6.75,11.8167,75.85,19,51,6.38,CM,1613498064
Hualmay,-11.0964,-77.6139,78.39,59,17,9.51,PE,1613498068
Chokurdakh,70.6333,147.9167,-19.1,89,98,1.81,RU,1613498069
Dingle,10.9995,122.6711,74.19,88,32,7.23,PH,1613498069
Upernavik,72.7868,-56.1549,-5.71,89,97,5.06,GL,1613498069
Severo-Kuril'sk,50.6789,156.125,29.75,97,100,43.17,RU,1613498069
Albany,42.6001,-73.9662,39.99,86,100,0.49,US,1613498069
New Norfolk,-42.7826,147.0587,55.0,73,0,1.95,AU,1613498069
San Quintín,30.4833,-115.95,59.65,68,92,19.17,MX,1613497802
Mayumba,-3.432,10.6554,79.99,83,75,6.6,GA,1613498069
Hermanus,-34.4187,19.2345,68.0,72,5,7.0,ZA,1613498070
Lorengau,-2.0226,147.2712,79.2,87,100,15.35,PG,1613498070
Hilo,19.7297,-155.09,66.99,82,1,8.05,US,1613498071
Bambous Virieux,-20.3428,57.7575,77.0,94,75,4.61,MU,1613498071
Ribeira Grande,38.5167,-28.7,59.0,77,75,18.41,PT,1613498071
Kapaa,22.0752,-159.319,71.6,94,90,5.75,US,1613498071
Saint Paul Harbor,57.79,-152.4072,24.8,93,1,8.05,US,1613498071
Miranda,3.2499,-76.2281,86.0,54,40,3.44,CO,1613498071
Cabo San Lucas,22.8909,-109.9124,72.0,52,1,10.36,MX,1613498071
Punta Arenas,-53.15,-70.9167,64.4,45,75,18.41,CL,1613497788
Arraial do Cabo,-22.9661,-42.0278,87.8,55,0,4.61,BR,1613497888
Kaitangata,-46.2817,169.8464,41.0,89,4,3.0,NZ,1613498072
Solnechnyy,50.7214,136.6319,11.52,93,100,21.56,RU,1613498072
Puerto Ayora,-0.7393,-90.3518,84.2,70,75,5.75,EC,1613498072
Provideniya,64.3833,-173.3,-5.39,83,0,12.21,RU,1613498072
Bengkulu,-3.8004,102.2655,76.33,88,100,4.72,ID,1613498072
Jamestown,42.097,-79.2353,21.99,93,90,10.36,US,1613498073
Krasnosel'kup,65.7,82.4667,-16.71,87,100,17.54,RU,1613498073
Leh,34.1667,77.5833,7.25,57,0,2.1,IN,1613498073
Rio Grande,-32.035,-52.0986,84.2,65,75,10.36,BR,1613497927
Weihe,32.9952,105.3247,42.26,52,81,3.27,CN,1613498073
Longhua,23.6137,114.1919,61.84,75,86,4.29,CN,1613498073
Avarua,-21.2078,-159.775,75.2,100,75,3.44,CK,1613498073
Kruisfontein,-34.0033,24.7314,64.99,74,39,1.99,ZA,1613498073
East London,-33.0153,27.9116,66.2,68,0,5.75,ZA,1613498074
Tiksi,71.6872,128.8694,-22.65,83,56,3.74,RU,1613498074
Qaanaaq,77.484,-69.3632,-5.6,86,100,3.49,GL,1613498074
Phultala,22.7,89.5167,65.12,48,0,1.23,BD,1613498074
Sarkand,45.41,79.9186,38.19,66,48,5.77,KZ,1613498074
Ploemeur,47.7333,-3.4333,52.0,87,90,16.11,FR,1613498074
Klaeng,12.7797,101.6483,80.01,90,8,3.58,TH,1613498074
Ilulissat,69.2167,-51.1,-0.4,60,75,6.91,GL,1613498074
Dikson,73.5069,80.5464,-27.26,85,59,12.06,RU,1613498075
Bredasdorp,-34.5322,20.0403,68.0,64,34,19.57,ZA,1613498075
Barberton,-25.7884,31.0532,66.2,72,90,2.3,ZA,1613498075
Havelock,34.8791,-76.9013,66.99,82,1,18.41,US,1613498075
Ulladulla,-35.35,150.4667,64.99,100,90,6.91,AU,1613498075
Xai-Xai,-25.0519,33.6442,76.01,85,100,29.06,MZ,1613498075
Cherskiy,68.75,161.3,-23.19,87,57,2.71,RU,1613498075
Kingaroy,-26.5333,151.8333,61.0,94,16,9.69,AU,1613498076
Bluff,-46.6,168.3333,39.0,92,1,1.01,NZ,1613498076
Vardø,70.3705,31.1107,15.8,79,0,14.97,NO,1613498076
Chengde,40.9725,117.9361,5.72,62,0,11.45,CN,1613498076
Tigil',57.8,158.6667,-2.29,89,0,5.14,RU,1613498076
Uglovoye,44.8215,33.6045,25.0,56,40,1.99,UA,1613498076
Yuli,9.6989,10.2744,86.49,12,0,8.16,NG,1613498076
Dawlatabad,36.4141,64.9053,56.3,38,0,3.27,AF,1613498076
Lewes,50.8736,0.0113,46.99,95,84,1.99,GB,1613498077
Tanabe,33.7333,135.3667,46.38,65,48,19.39,JP,1613498077
Luwuk,-0.9516,122.7875,78.58,71,82,3.29,ID,1613498077
Mitú,1.1983,-70.1733,81.99,90,68,4.0,CO,1613498078
Nome,64.5011,-165.4064,1.4,66,1,5.77,US,1613498078
Tuatapere,-46.1333,167.6833,39.0,92,1,1.01,NZ,1613498078
Castro,-24.7911,-50.0119,77.4,60,19,9.75,BR,1613498078
Hornepayne,49.2138,-84.7705,3.47,89,50,4.72,CA,1613498078
Walvis Bay,-22.9575,14.5053,68.0,81,0,8.99,NA,1613498079
Najrān,17.4924,44.1277,73.4,25,0,2.98,SA,1613498079
Atuona,-9.8,-139.0333,78.6,81,10,14.5,PF,1613498079
Kimbe,-5.5502,150.1429,77.47,84,98,1.25,PG,1613498079
Nadym,65.5333,72.5167,-26.95,84,21,5.19,RU,1613498079
Pangoa,-12.1167,-73.0,76.26,92,72,3.0,PE,1613498079
Calvinia,-31.4707,19.776,70.23,22,0,7.11,ZA,1613498080
Mitzic,0.7821,11.549,72.86,93,76,3.47,GA,1613498080
Hambantota,6.1241,81.1185,76.08,80,25,12.55,LK,1613498080
